class	entropy	silhouette	k	cancer	ID
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0UM-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MQ-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JS-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0M8-01A-12R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-B5-A0K2-01A-12R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0U7-01A-21R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0M2-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MS-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0TC-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LE-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0R9-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0TE-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0UT-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0TA-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0MT-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0U8-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0TJ-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BS-A0UF-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BK-A0CB-01A-32R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-AP-A0LP-01A-12R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0MU-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-B5-A0JY-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0R6-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0VQ-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-A5-A0R8-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BG-A0M0-01A-11R-A104-07
2	0	0.991760903007224	k_2	UCEC	TCGA-BS-A0TI-01A-11R-A104-07
1	0	0.996484799932207	k_2	UCEC	TCGA-BG-A0M6-01A-31R-A104-07
