cancer	pval	type	m	k	datatype
READ	0.752508898423426	PFI	run without warning	k_3	indegree
READ	0.00602864820197143	OS	run without warning	k_3	indegree
READ	0.425821523690204	PFI	run without warning	k_2	indegree
READ	0.000873172666480848	OS	run without warning	k_2	indegree
SARC	0.957911314650553	PFI	run without warning	k_4	expression
SARC	0.0207329879917655	OS	run without warning	k_4	expression
SARC	0.905290015425729	PFI	run without warning	k_2	expression
SARC	0.0517038055901508	OS	run without warning	k_2	expression
SARC	0.958009715649796	PFI	run without warning	k_4	indegree
SARC	0.02235010544223	OS	run without warning	k_4	indegree
SARC	0.875944457934209	PFI	run without warning	k_2	indegree
SARC	0.0132371290818176	OS	run without warning	k_2	indegree
SKCM	0.00782148200099287	PFI	run without warning	k_3	expression
SKCM	0.388050943608922	OS	run without warning	k_3	expression
SKCM	0.024260004376693	PFI	run without warning	k_2	expression
SKCM	0.807877806330284	OS	run without warning	k_2	expression
SKCM	0.183961714250557	PFI	run without warning	k_4	indegree
SKCM	0.926325524710698	OS	run without warning	k_4	indegree
STAD	0.0231073274128981	PFI	run without warning	k_3	expression
STAD	0.00525726730676196	OS	run without warning	k_3	expression
STAD	0.00765428143788332	PFI	run without warning	k_2	expression
STAD	0.00540051973663113	OS	run without warning	k_2	expression
STAD	0.0199068278765104	PFI	run without warning	k_3	indegree
STAD	0.0140712933133302	OS	run without warning	k_3	indegree
STAD	0.02672249290897	PFI	run without warning	k_2	indegree
STAD	0.00409213034060563	OS	run without warning	k_2	indegree
TGCT	0.340343240346255	PFI	run without warning	k_3	expression
TGCT	0.200573008487705	OS	with warning	k_3	expression
TGCT	0.197423276805167	PFI	run without warning	k_2	expression
TGCT	0.253478523486451	OS	run without warning	k_2	expression
TGCT	0.076523824546141	PFI	run without warning	k_4	indegree
TGCT	0.352350866101521	OS	with warning	k_4	indegree
TGCT	0.0791849882827157	PFI	run without warning	k_2	indegree
TGCT	0.188512629472377	OS	run without warning	k_2	indegree
THCA	0.0377717843620782	PFI	run without warning	k_4	expression
THCA	9.80730373753997e-10	OS	run without warning	k_4	expression
THCA	0.091800471856801	PFI	run without warning	k_2	expression
THCA	1.92228098108073e-10	OS	run without warning	k_2	expression
THCA	0.133527710026359	PFI	run without warning	k_3	indegree
THCA	5.28919002272161e-10	OS	run without warning	k_3	indegree
THCA	0.0633994311779719	PFI	run without warning	k_2	indegree
THCA	2.01493691146374e-10	OS	run without warning	k_2	indegree
THYM	0.759923985777352	PFI	run without warning	k_3	expression
THYM	0.239702515834716	OS	run without warning	k_3	expression
THYM	0.300346939247938	PFI	run without warning	k_2	expression
THYM	0.214757418022661	OS	run without warning	k_2	expression
THYM	0.792766720470858	PFI	run without warning	k_3	indegree
THYM	0.0680121019733452	OS	run without warning	k_3	indegree
THYM	0.590061978597554	PFI	run without warning	k_2	indegree
THYM	0.201645314485022	OS	run without warning	k_2	indegree
UCEC	0.592178616633028	PFI	run without warning	k_2	expression
UCEC	0.0028225424813136	OS	run without warning	k_2	expression
UCEC	0.16620075533622	PFI	run without warning	k_3	indegree
UCEC	0.000723988121828242	OS	run without warning	k_3	indegree
UCEC	0.279963906500902	PFI	run without warning	k_2	indegree
UCEC	0.00251408053519977	OS	run without warning	k_2	indegree
UCS	0.149244230268608	PFI	run without warning	k_3	expression
UCS	0.131888219064636	OS	run without warning	k_3	expression
UCS	0.095133880406075	PFI	run without warning	k_2	indegree
UCS	0.1210744968082	OS	run without warning	k_2	indegree
UVM	0.191272801845371	PFI	run without warning	k_2	expression
UVM	0.0578521154537965	OS	run without warning	k_2	expression
UVM	0.494631372110401	PFI	run without warning	k_3	indegree
UVM	0.129295949947761	OS	run without warning	k_3	indegree
